Autores,Titulo,Ano de Publicacao,Fonte,Status,EEG,BCI,MI,Classification,Model/pipeline,Temporal_filter,Anotation
"Wang L, Xu G, Wang J, Yang S, Yan W.",Application of Hilbert-Huang transform for the study of motor imagery tasks,2008,PubMed,passou,passou,passou,passou,passou,passou,passou,Usa EMD para decomposição. Usa Hilbert-Huang como extrator de caracteristicas (talvez usa na real como filtro temporal. ver mais a fundo)
"Shin J, Kwon J, Im CH.","A Ternary Hybrid EEG-NIRS Brain-Computer Interface for the Classification of Brain Activation Patterns during Mental Arithmetic, Motor Imagery, and Idle State",2018,PubMed,passou,passou,passou,passou,passou,passou,passou,Usa FBCSP. Porem o foco é mostrar anaslises EEG-NIRS.
"Song Y, Sepulveda F.",A novel onset detection technique for brain-computer interfaces using sound-production related cognitive tasks in simulated-online system,2017,PubMed,passou,passou,passou,depende,depende,passou,depende,Não aparenta com claresa ser um caso de EEG-BCI-MI de classificação. Porem fala de metodos de filtragem sendo usados como extração de caracteristisas (Band power e DWT - Wavelet).
"D J, K C S.",Parallel convolutional neural network and empirical mode decomposition for high accuracy in motor imagery EEG signal classification,2025,PubMed,passou,passou,passou,passou,passou,passou,depende,"Usa EMD, mas fala que é como extrator de caracteristicas."
"Jaipriya D, Sriharipriya KC.",A comparative analysis of masking empirical mode decomposition and a neural network with feed-forward and back propagation along with masking empirical mode decomposition to improve the classification performance for a reliable brain-computer interface,2022,PubMed,passou,passou,passou,passou,passou,passou,depende,Usa Masking Empirical Mode Decomposition (MEMD) based Feed Forward Back Propagation Neural Network (MEMD-FFBPNN). Verificar se acaba tendo ou não uso como filtro temporal ou não.
"Huang D, Lin P, Fei DY, Chen X, Bai O.",EEG-based online two-dimensional cursor control,2009,PubMed,passou,passou,passou,passou,passou,passou,passou,"Artigo fala ""Spatial filtering, temporal filtering, feature selection and classification methods were explored to support accurate computer pattern recognition"". Portanto vai ter filtragem temporal clara."
"Qiao J, Hu P, Hong J.",[Research of classification about BCI based on the signals energy],2014,PubMed,passou,passou,passou,passou,passou,passou,passou,"Artigo usa um ""six-border Butterworth filter"", juntamente de ""decomposed to five levels using Daubechies wavelet and the fourth level and the fifth level are chosen to reconstruct the signals"". Provavelmente 2 filtros temporais."
"Asogbon MG, Samuel OW, Li X, Nsugbe E, Scheme E, Li G.",A linearly extendible multi-artifact removal approach for improved upper extremity EEG-based motor imagery decoding,2021,PubMed,passou,passou,passou,passou,passou,passou,depende,"Artigo propoe ""semi-automatic EEG preprocessing method that combines Generalized Eigenvalue Decomposition driven by low-rank approximation and a Multi-channel Wiener Filter (GEVD-MWF) that employs a learning technique for simultaneous elimination of multiple artifacts from MI-EEG signals"". Talvez uma das etapas isoladas esteja servido como um metodo de filtragem temporal ou ele mesmo aplique um."
"Zhang M, Huang J, Ni S.",Recognition of motor intentions from EEGs of the same upper limb by signal traceability and Riemannian geometry features,2023,PubMed,passou,passou,passou,passou,passou,passou,passou,"Artigo utiliza FBCSP como um dos modelos. Esse modelo tem filtro temporal, porem é bom ver se tem mais outros dentro."
"Tong J, Wei X, Dong E, Sun Z, Du S, Duan F.",Hybrid mental tasks based human computer interface via integration of pronunciation and motor imagery,2022,PubMed,passou,passou,passou,depende,depende,passou,passou,"Artigo usa ""pronunciation imagination (PI)"" além de MI, usa uma versão do FBCSP e aparenta ser um problema de classificação. Melhor ler para verificar."
